ID,Total Cost per Month,Rental Type,Number of Bedrooms,Postcode,Date Listed,Number of Bathrooms,Number of Living Rooms,Distance to First Public Transport Hub (Miles),First Public Transport Hub Name,Distance to Second Public Transport Hub (Miles),Second Public Transport Hub Name,Cost per Bedroom,Bedrooms to Bathrooms Ratio,Bedrooms to Living Rooms Ratio,Zone
61270951,433.0,Property,0.0,sw7,2020-03-06,,,0.1,South Kensington,0.5,Gloucester Road,inf,,,1
61179921,433.0,Parking Garage,,sw1,2022-04-06,,,0.1,London Victoria,0.2,Victoria,,,,1
63355337,450.0,Room to Rent,1.0,e6,2022-11-29,1.0,,0.4,East Ham,0.9,Woodgrange Park,450.0,1.0,,3
63387448,452.0,Parking Garage,,sw1,2022-12-02,,,0.1,London Victoria,0.2,Victoria,,,,1
61780507,500.0,Room to Rent,1.0,e4,2022-06-23,1.0,,1.0,Highams Park,1.1,Angel Road,500.0,1.0,,4
62768360,500.0,Room to Rent,1.0,se6,2022-10-31,1.0,,,,,,500.0,1.0,,
62846381,500.0,Parking Garage,,e3,2022-11-09,,,0.4,Hackney Wick,0.5,Pudding Mill Lane,,,,2
54467252,520.0,Room to Rent,1.0,e16,2022-11-27,1.0,,0.6,Custom House,0.7,Custom House,520.0,1.0,,3
48926308,520.0,Parking Garage,,w1,2021-07-19,,,0.2,Hyde Park Corner,0.4,Green Park,,,,1
46980706,530.0,Room to Rent,1.0,se6,2022-05-17,1.0,,0.6,Bellingham,0.9,Catford Bridge,530.0,1.0,,3
63425360,542.0,Studio,1.0,w4,2022-12-08,1.0,,0.2,Stamford Brook,0.3,Turnham Green,542.0,1.0,,2
63411905,550.0,Room to Rent,1.0,e14,2022-12-06,,1.0,0.1,All Saints,0.2,Langdon Park,550.0,,1.0,2
63401363,550.0,Room to Rent,1.0,sw2,2022-12-05,1.0,,5.4,Brampton (Cumbria),7.9,Wetheral,550.0,1.0,,
62568243,550.0,Studio,1.0,sw2,2022-10-04,1.0,,0.4,Clapham North,0.5,Brixton,550.0,1.0,,2
63399551,560.0,Room to Rent,1.0,se18,2022-12-05,1.0,,0.2,Woolwich Dockyard,0.5,Barrier Gardens Pier,560.0,1.0,,3
57516375,575.0,Studio,1.0,n20,2022-12-19,1.0,,0.2,Totteridge & Whetstone,0.6,Oakleigh Park,575.0,1.0,,4
63492340,575.0,Room to Rent,1.0,sw20,2022-12-19,1.0,,0.5,Raynes Park,0.7,Motspur Park,575.0,1.0,,4
63481774,580.0,Room to Rent,1.0,sw15,2022-12-16,1.0,,1.4,Southfields,1.5,Barnes,580.0,1.0,,3
63358442,585.0,Parking Garage,,w1,2022-11-30,,,0.2,Hyde Park Corner,0.3,Green Park,,,,1
63358460,585.0,Parking Garage,,w1,2022-11-30,,,0.2,Hyde Park Corner,0.3,Green Park,,,,1
63421028,600.0,Room to Rent,1.0,se12,2022-12-07,1.0,,0.4,Lee (London),0.9,Hither Green,600.0,1.0,,3
57800386,600.0,Room to Rent,1.0,sw15,2022-12-07,1.0,,0.1,Savoy Pier,0.2,Temple,600.0,1.0,,1
57485844,600.0,Room to Rent,1.0,sw6,2022-04-01,1.0,1.0,0.3,Fulham Broadway,0.3,Parsons Green,600.0,1.0,1.0,2
52432635,600.0,Property,0.0,sw20,2019-08-16,,,0.2,Raynes Park,0.7,Wimbledon Chase,inf,,,4
60240570,607.0,Room to Rent,1.0,e7,2022-12-03,1.0,1.0,0.3,Wanstead Park,0.4,Forest Gate,607.0,1.0,1.0,3
56374872,630.0,Room to Rent,1.0,e3,2022-12-15,1.0,,0.3,Bow Road,0.4,Bow Church,630.0,1.0,,2
63445129,640.0,Room to Rent,1.0,se25,2022-12-12,2.0,,0.3,Norwood Junction,0.7,Birkbeck,640.0,0.5,,4
62260153,650.0,Room to Rent,1.0,e11,2022-08-23,,,0.2,Leytonstone,0.4,Leytonstone High Road,650.0,,,3
62391221,650.0,Room to Rent,1.0,e11,2022-09-09,,,0.4,Leytonstone,0.4,Leyton Midland Road,650.0,,,3
38217938,650.0,Room to Rent,1.0,nw10,2022-12-06,1.0,,0.2,Willesden Green,0.6,Dollis Hill,650.0,1.0,,2
63490332,650.0,Room to Rent,1.0,nw10,2022-12-19,1.0,,0.6,Hanger Lane,0.6,Park Royal,650.0,1.0,,3
63434726,650.0,Room to Rent,1.0,e14,2022-12-09,,1.0,0.1,All Saints,0.2,Langdon Park,650.0,,1.0,2
63381277,650.0,Detached House,,sw17,2022-12-02,,,0.4,Tooting Broadway,0.5,Tooting,,,,3
63473810,650.0,Studio,1.0,n9,2022-12-15,1.0,1.0,0.5,Edmonton Green,0.9,Silver Street,650.0,1.0,1.0,4
42101395,650.0,Room to Rent,1.0,sw2,2021-05-10,1.0,,0.5,Brixton,0.5,Brixton,650.0,1.0,,2
59077039,650.0,Parking Garage,,sw3,2021-07-02,,,0.2,Knightsbridge,0.4,Hyde Park Corner,,,,1
62841723,650.0,Studio,1.0,se28,2022-11-09,1.0,1.0,1.1,Abbey Wood,1.6,Belvedere,650.0,1.0,1.0,4
63136808,650.0,Room to Rent,1.0,se6,2022-11-18,2.0,1.0,0.8,Lee (London),0.8,Hither Green,650.0,0.5,1.0,3
63334121,650.0,Room to Rent,1.0,nw9,2022-11-26,,1.0,0.7,Hendon,0.9,Colindale,650.0,,1.0,3
63435020,650.0,Room to Rent,1.0,nw10,2022-12-09,,,,,,,650.0,,,
62770219,650.0,Room to Rent,1.0,n9,2022-10-31,1.0,,0.5,Edmonton Green,0.8,Bush Hill Park,650.0,1.0,,4
59945559,650.0,Room to Rent,1.0,n11,2022-12-10,1.0,,0.4,Bounds Green,0.4,Arnos Grove,650.0,1.0,,3
63137518,650.0,Room to Rent,1.0,n16,2022-11-19,1.0,,0.3,Stoke Newington,0.4,Rectory Road,650.0,1.0,,2
62546936,650.0,Room to Rent,1.0,n17,2022-09-30,1.0,1.0,0.3,Bruce Grove,0.5,Seven Sisters,650.0,1.0,1.0,3
63471760,670.0,Room to Rent,1.0,e11,2022-12-15,1.0,,0.5,Wanstead,0.6,Snaresbrook,670.0,1.0,,4
63409967,675.0,Room to Rent,1.0,w5,2022-12-06,1.0,1.0,0.5,Hanger Lane,0.9,Alperton,675.0,1.0,1.0,3
63491864,677.0,Room to Rent,1.0,n12,2022-12-19,1.0,,0.4,Woodside Park,0.7,West Finchley,677.0,1.0,,4
63308713,680.0,Room to Rent,1.0,sw2,2022-11-23,1.0,,0.8,Clapham Common,0.9,Clapham North,680.0,1.0,,2
63474287,680.0,Room to Rent,1.0,sw15,2022-12-15,1.0,,1.3,Putney,1.4,Barnes,680.0,1.0,,2
63494788,690.0,Room to Rent,1.0,sw2,2022-12-20,1.0,,0.5,Brixton,0.6,Brixton,690.0,1.0,,2
63297845,693.0,Room to Rent,1.0,w4,2022-11-22,1.0,,0.1,Chiswick Park,0.3,South Acton,693.0,1.0,,3
48342174,698.0,Room to Rent,1.0,nw2,2022-11-30,,,0.3,Dollis Hill,0.5,Willesden Green,698.0,,,3
63448183,699.0,Room to Rent,1.0,w3,2022-12-12,3.0,,0.3,South Acton,0.4,Acton Central,699.0,0.3333333333333333,,3
